EventID,ISIN,EventDate,Group,BlockSize,CAR_[-10;+10],CAR_[-5;+5],CAR_[-2;+5],CAR_[-2;+2],CAR_[-1;+1],CAR_[-1;+0],Block_3,Block_5,Block_10,Block_20,Block_30,GROUP_A,GROUP_F,GROUP_S,Leverage_T-1,MarketCap_T-1,NetSales_T-1,SalesGrowth,MarketToBookValue_T-1,ReturnOnAssets_T-1,TurnoverByVolume,BHAR,HasNAN
31,DE0005487953,2013-11-19,FinancialBlock,THREE,-0.1650,-0.1294,0.0156,0.0438,0.0843,0.1121,1,0,0,0,0,0,1,0,23.17,10142,27370,0.04,0.73,3.75,111.80,-0.2940,FALSE
32,DE0006201403,2019-08-13,FinancialBlock,THREE,-0.0581,-0.0636,-0.0502,-0.1520,-0.0292,-0.0374,1,0,0,0,0,0,1,0,nan,36267,120458,-0.02,2.85,0.73,nan,-0.1326,TRUE
33,DE000A1681X5,2019-01-22,FinancialBlock,THREE,-0.0412,0.0094,0.0540,0.0964,0.1032,0.0932,1,0,0,0,0,0,1,0,90.36,81403,125900,0.40,6.64,1.01,21.80,-0.0066,FALSE
34,LU0251710041,2014-03-11,Strategic,TWENTY,0.1029,0.0564,0.0298,0.0621,0.0359,0.0295,0,0,0,1,0,0,0,1,108.62,182323,nan,nan,0.09,6.10,nan,-0.0691,TRUE
35,DE000A1E9A75,2012-03-14,Strategic,TEN,0.2369,0.2011,0.1574,0.0635,0.1111,0.0979,0,0,1,0,0,0,0,1,nan,nan,33650,nan,3.27,nan,15.20,-0.1400,TRUE
36,DE0007235301,2015-07-31,Strategic,FIVE,0.0815,-0.0428,-0.0415,-0.0296,-0.0449,-0.0492,0,1,0,0,0,0,0,1,127.78,1254317,1335600,-0.10,3.01,-10.44,209.70,0.0647,FALSE
37,DE0006578008,2014-01-14,Strategic,THIRTY,-0.0290,-0.0464,-0.0433,-0.0438,-0.0510,-0.0609,0,0,0,0,1,0,0,1,0.00,319605,249624,0.17,1.05,0.17,160.00,-0.1596,FALSE
38,DE000A1TNS13,2009-12-16,Strategic,THIRTY,-0.0445,0.0250,0.0093,-0.0048,-0.0146,0.0002,0,0,0,0,1,0,0,1,101.43,49268,332604,0.51,0.96,5.09,4.40,-0.4072,FALSE
39,DE000A1K0375,2016-06-06,Strategic,FIVE,-0.0861,-0.0088,-0.0382,-0.0382,0.0076,0.0606,0,1,0,0,0,0,0,1,73.37,10884,17285,0.24,16.19,16.51,0.50,-0.4454,FALSE
40,DE000A1TNS13,2012-10-03,Strategic,TWENTY,0.0237,-0.1974,0.0078,-0.0182,0.1903,0.0038,0,0,0,1,0,0,0,1,119.59,26457,292777,-0.27,0.42,-4.62,42.40,-0.1833,FALSE
41,DE0006305006,2013-09-10,Strategic,FIVE,-0.0928,-0.1079,-0.0919,-0.0679,-0.0169,-0.0038,0,1,0,0,0,0,0,1,21.26,427851,1291900,-0.16,1.03,2.93,470.50,-0.4991,FALSE
42,DE000A0HN5C6,2019-02-01,Strategic,THREE,0.0008,-0.0120,-0.0329,-0.0215,-0.0166,-0.0278,1,0,0,0,0,0,0,1,79.84,14280571,1438500,0.23,1.12,8.37,1736.00,-0.1395,FALSE
43,DE0006204407,2014-11-28,Strategic,TEN,-0.0923,-0.0876,-0.0718,0.0131,0.0165,0.0326,0,0,1,0,0,0,0,1,77.98,1154820,1774500,0.02,2.95,6.22,373.50,-0.1655,FALSE
44,DE000A1EMG56,2010-04-27,Strategic,TEN,0.4414,0.1391,0.5408,0.3586,0.0942,0.0830,0,0,1,0,0,0,0,1,-420.82,3300,28530,-0.23,-4.00,-30.12,13.60,0.7576,FALSE
45,DE000A12DM80,2017-06-23,Strategic,TWENTY,-0.0337,-0.0096,0.0006,0.0298,0.0230,0.0255,0,0,0,1,0,0,0,1,67.97,3638663,442110,0.12,3.28,4.58,160.00,0.0626,FALSE
46,DE000A2YN777,2017-07-31,Strategic,TEN,0.1021,-0.0103,0.0072,-0.0582,-0.0498,-0.0152,0,0,1,0,0,0,0,1,4.85,34325,nan,nan,1.95,15.46,8.50,-0.0376,TRUE
47,DE000HNC2059,2010-04-30,Strategic,THREE,0.1970,-0.0117,-0.0258,-0.0247,-0.0024,0.0174,1,0,0,0,0,0,0,1,159.43,13200,nan,nan,2.40,-13.67,0.00,0.5310,TRUE
48,DE0007300402,2012-12-28,Strategic,FIVE,-0.0475,-0.0199,-0.0178,-0.0113,0.0065,0.0308,0,1,0,0,0,0,0,1,105.58,166501,342360,0.26,2.77,6.27,3.70,-0.1454,FALSE
49,DE000A2LQ009,2015-03-18,Strategic,FIVE,-0.0888,0.0179,0.0028,-0.0428,-0.0172,-0.0177,0,1,0,0,0,0,0,1,0.00,30311,nan,nan,1.38,-0.84,0.50,-0.1434,TRUE
50,DE0005213508,2013-10-01,Strategic,TEN,0.0400,0.0746,0.0040,0.0322,0.0116,-0.0031,0,0,1,0,0,0,0,1,61.39,61568,93999,0.09,0.94,4.76,10.70,-0.1601,FALSE
51,DE0006084403,2014-03-27,Strategic,FIVE,-0.0132,-0.0115,0.0095,-0.0129,0.0289,0.0344,0,1,0,0,0,0,0,1,45.71,826982,3019959,0.01,0.98,4.34,12.00,0.0260,FALSE
52,DE0005111702,2011-03-18,Activist,THIRTY,0.2153,0.0323,0.0625,0.0939,0.0942,0.0243,0,0,0,0,1,1,0,0,47.12,138736,177828,0.44,3.85,5.42,38.70,0.2092,FALSE
53,DE000A2NBTL2,2014-05-01,Activist,FIVE,0.0593,0.0645,0.0598,0.0616,0.0260,0.0058,0,1,0,0,0,1,0,0,70.97,282341,nan,nan,2.49,9.34,nan,0.0119,TRUE
54,DE0007568578,2011-01-25,Activist,TEN,-0.0913,0.0318,0.0851,0.0337,-0.0253,-0.0412,0,0,1,0,0,1,0,0,0.00,35543,13330,0.14,1.12,-8.61,3.60,0.1182,FALSE
55,DE000A161408,2019-05-14,Activist,TWENTY,0.1238,0.0730,0.0514,0.0676,0.0731,0.0445,0,0,0,1,0,1,0,0,0.63,1000903,1279200,0.41,8.93,-19.30,1190.60,0.0225,FALSE
56,DE0005895403,2017-01-03,Activist,TEN,-0.0976,-0.1006,-0.0679,0.0041,-0.0045,0.0345,0,0,1,0,0,1,0,0,103.46,533255,1695483,0.19,1.17,5.30,46.80,0.0080,FALSE
57,DE000A0Z1JH9,2019-09-18,Strategic,TEN,0.0747,0.0607,0.0124,0.0223,0.0223,0.0238,0,0,1,0,0,0,0,1,2.07,245350,199156,0.07,2.94,6.00,3.10,0.0418,FALSE
58,DE000LED4000,2017-10-04,Strategic,TEN,-0.1646,-0.1124,-0.0564,-0.0450,-0.0646,-0.0469,0,0,1,0,0,0,0,1,8.16,5192797,nan,nan,2.24,9.30,341.60,-0.0169,TRUE
59,DE000A0Z23G6,2018-04-20,Activist,FIVE,0.1074,0.1677,0.1325,0.0441,0.0002,0.0212,0,1,0,0,0,1,0,0,300.24,56110,159802,-0.14,7.11,-1.05,92.30,0.4048,FALSE
